"Unweighted_Sample","Weighted_Sample","Question","Nationality","Gender","Rank (text)","Rank (number)","Percentage"
929,830,"They have a sense of humour I like","British","Women","Ranked first",1,0.21
929,830,"They have a sense of humour I like","British","Women","Ranked second",2,0.33
929,830,"They have a sense of humour I like","British","Women","Ranked third",3,0.24
929,830,"They have a sense of humour I like","British","Women","Ranked fourth",4,0.14
929,830,"They have a sense of humour I like","British","Women","Ranked fifth",5,0.07
929,830,"They have a sense of humour I like","British","Women","Ranked sixth",6,0.01
929,830,"They are intelligent","British","Women","Ranked first",1,0.08
929,830,"They are intelligent","British","Women","Ranked second",2,0.14
929,830,"They are intelligent","British","Women","Ranked third",3,0.2
929,830,"They are intelligent","British","Women","Ranked fourth",4,0.39
929,830,"They are intelligent","British","Women","Ranked fifth",5,0.16
929,830,"They are intelligent","British","Women","Ranked sixth",6,0.04
929,830,"They have/make a decent amount of money","British","Women","Ranked first",1,0.01
929,830,"They have/make a decent amount of money","British","Women","Ranked second",2,0.02
929,830,"They have/make a decent amount of money","British","Women","Ranked third",3,0.03
929,830,"They have/make a decent amount of money","British","Women","Ranked fourth",4,0.05
929,830,"They have/make a decent amount of money","British","Women","Ranked fifth",5,0.22
929,830,"They have/make a decent amount of money","British","Women","Ranked sixth",6,0.67
929,830,"They have similar interests to me","British","Women","Ranked first",1,0.13
929,830,"They have similar interests to me","British","Women","Ranked second",2,0.21
929,830,"They have similar interests to me","British","Women","Ranked third",3,0.28
929,830,"They have similar interests to me","British","Women","Ranked fourth",4,0.2
929,830,"They have similar interests to me","British","Women","Ranked fifth",5,0.13
929,830,"They have similar interests to me","British","Women","Ranked sixth",6,0.06
506,504,"They are good looking","Danish","Men","Ranked first",1,0.11
506,504,"They are good looking","Danish","Men","Ranked second",2,0.16
506,504,"They are good looking","Danish","Men","Ranked third",3,0.18
506,504,"They are good looking","Danish","Men","Ranked fourth",4,0.22
506,504,"They are good looking","Danish","Men","Ranked fifth",5,0.28
506,504,"They are good looking","Danish","Men","Ranked sixth",6,0.05
506,504,"They have a personality I like","Danish","Men","Ranked first",1,0.68
506,504,"They have a personality I like","Danish","Men","Ranked second",2,0.18
506,504,"They have a personality I like","Danish","Men","Ranked third",3,0.08
506,504,"They have a personality I like","Danish","Men","Ranked fourth",4,0.03
506,504,"They have a personality I like","Danish","Men","Ranked fifth",5,0.02
506,504,"They have a personality I like","Danish","Men","Ranked sixth",6,0.01
506,504,"They have a sense of humour I like","Danish","Men","Ranked first",1,0.08
506,504,"They have a sense of humour I like","Danish","Men","Ranked second",2,0.37
506,504,"They have a sense of humour I like","Danish","Men","Ranked third",3,0.25
506,504,"They have a sense of humour I like","Danish","Men","Ranked fourth",4,0.19
506,504,"They have a sense of humour I like","Danish","Men","Ranked fifth",5,0.09
506,504,"They have a sense of humour I like","Danish","Men","Ranked sixth",6,0.02
506,504,"They are intelligent","Danish","Men","Ranked first",1,0.09
506,504,"They are intelligent","Danish","Men","Ranked second",2,0.15
506,504,"They are intelligent","Danish","Men","Ranked third",3,0.31
506,504,"They are intelligent","Danish","Men","Ranked fourth",4,0.28
506,504,"They are intelligent","Danish","Men","Ranked fifth",5,0.14
506,504,"They are intelligent","Danish","Men","Ranked sixth",6,0.02
506,504,"They have/make a decent amount of money","Danish","Men","Ranked first",1,0
506,504,"They have/make a decent amount of money","Danish","Men","Ranked second",2,0.01
506,504,"They have/make a decent amount of money","Danish","Men","Ranked third",3,0.03
506,504,"They have/make a decent amount of money","Danish","Men","Ranked fourth",4,0.03
506,504,"They have/make a decent amount of money","Danish","Men","Ranked fifth",5,0.11
506,504,"They have/make a decent amount of money","Danish","Men","Ranked sixth",6,0.81
506,504,"They have similar interests to me","Danish","Men","Ranked first",1,0.04
506,504,"They have similar interests to me","Danish","Men","Ranked second",2,0.12
506,504,"They have similar interests to me","Danish","Men","Ranked third",3,0.15
506,504,"They have similar interests to me","Danish","Men","Ranked fourth",4,0.25
506,504,"They have similar interests to me","Danish","Men","Ranked fifth",5,0.35
506,504,"They have similar interests to me","Danish","Men","Ranked sixth",6,0.08
502,503,"They are good looking","Danish","Women","Ranked first",1,0.05
502,503,"They are good looking","Danish","Women","Ranked second",2,0.06
502,503,"They are good looking","Danish","Women","Ranked third",3,0.11
502,503,"They are good looking","Danish","Women","Ranked fourth",4,0.19
502,503,"They are good looking","Danish","Women","Ranked fifth",5,0.44
502,503,"They are good looking","Danish","Women","Ranked sixth",6,0.16
502,503,"They have a personality I like","Danish","Women","Ranked first",1,0.69
502,503,"They have a personality I like","Danish","Women","Ranked second",2,0.17
502,503,"They have a personality I like","Danish","Women","Ranked third",3,0.1
502,503,"They have a personality I like","Danish","Women","Ranked fourth",4,0.02
502,503,"They have a personality I like","Danish","Women","Ranked fifth",5,0.01
502,503,"They have a personality I like","Danish","Women","Ranked sixth",6,0.01
502,503,"They have a sense of humour I like","Danish","Women","Ranked first",1,0.14
502,503,"They have a sense of humour I like","Danish","Women","Ranked second",2,0.45
502,503,"They have a sense of humour I like","Danish","Women","Ranked third",3,0.25
502,503,"They have a sense of humour I like","Danish","Women","Ranked fourth",4,0.11
502,503,"They have a sense of humour I like","Danish","Women","Ranked fifth",5,0.03
502,503,"They have a sense of humour I like","Danish","Women","Ranked sixth",6,0.01
502,503,"They are intelligent","Danish","Women","Ranked first",1,0.07
502,503,"They are intelligent","Danish","Women","Ranked second",2,0.19
502,503,"They are intelligent","Danish","Women","Ranked third",3,0.31
502,503,"They are intelligent","Danish","Women","Ranked fourth",4,0.29
502,503,"They are intelligent","Danish","Women","Ranked fifth",5,0.12
502,503,"They are intelligent","Danish","Women","Ranked sixth",6,0.02
502,503,"They have/make a decent amount of money","Danish","Women","Ranked first",1,0
502,503,"They have/make a decent amount of money","Danish","Women","Ranked second",2,0.02
502,503,"They have/make a decent amount of money","Danish","Women","Ranked third",3,0.02
502,503,"They have/make a decent amount of money","Danish","Women","Ranked fourth",4,0.04
502,503,"They have/make a decent amount of money","Danish","Women","Ranked fifth",5,0.2
502,503,"They have/make a decent amount of money","Danish","Women","Ranked sixth",6,0.72
502,503,"They have similar interests to me","Danish","Women","Ranked first",1,0.05
502,503,"They have similar interests to me","Danish","Women","Ranked second",2,0.12
502,503,"They have similar interests to me","Danish","Women","Ranked third",3,0.21
502,503,"They have similar interests to me","Danish","Women","Ranked fourth",4,0.34
502,503,"They have similar interests to me","Danish","Women","Ranked fifth",5,0.2
502,503,"They have similar interests to me","Danish","Women","Ranked sixth",6,0.08
524,511,"They are good looking","Egyptian","Men","Ranked first",1,0.31
524,511,"They are good looking","Egyptian","Men","Ranked second",2,0.19
