"","name","AreaSqKm","state"
"450","Emma Lake",0.27,"MN"
"451","Buck Lake",0.1,"MN"
"452","Marsh Lake",0.029,"MN"
"453","Grass Lake",0.941,"MN"
"454","Fahul Lake",0.305,"MN"
"455","Cedar Lake",0.555,"MN"
"456","Spur Lakes",0.016,"MN"
"457","Chain Lake",0.028,"MN"
"458","Round Lake",0.175,"MN"
"459","Tepee Lakes",0.105,"MN"
"460","Isabelle Lake",0.122,"MN"
"461","Little Stony Lake",0.267,"MN"
"462","Cuthbert Lake",0.387,"MN"
"463","Kenny Lake",0.053,"MN"
"464","Burns Lake",0.069,"MN"
"465","Ridge Lake",0.085,"MN"
"466","Smyth Lake",0.21,"MN"
"467","Gibibwisher Lake",0.473,"MN"
"468","Pauley Lake",0.287,"MN"
"469","Eagle Lake",0.774,"MN"
"470","Island Lake",0.901,"MN"
"471","Hatchers Lake",0.109,"MN"
"472","Wolf Lake",1.122,"MN"
"473","Holland-Lucy Lake",0.182,"MN"
"474","Hennessy Lake",0.265,"MN"
"475","Fuller Lake",0.196,"MN"
"476","Range Line Lake",0.121,"MN"
"477","Hagali Lake",0.386,"MN"
"478","Tadd Lake",0.03614945,"MN"
"479","Schultz Lake",0.633,"MN"
"480","Simon Lake",0.433,"MN"
"481","Radabaugh Lake",0.152,"MN"
"482","Lock Lake",0.233,"MN"
"483","Pixley Lake",0.151,"MN"
"484","Mud Lake",0.369,"MN"
"485","Ham Lake",0.758,"MN"
"486","McLauchlin Lake",0.037,"MN"
"487","Little Twin Lake",0.291,"MN"
"488","Stone Lake",0.004,"MN"
"489","School Lake",0.19,"MN"
"490","Umbel Lake",0.06,"MN"
"491","Popple Lake",0.159,"MN"
"492","Mountain Lake",0.183,"MN"
"493","Wintergreen Lake",0.179,"MN"
"494","Farber Lake",0.062,"MN"
"495","Pool Lake",0.489,"MN"
"496","Buck Lake",0.237,"MN"
"497","Mons Lake",0.369,"MN"
"498","Peterson Lake",0.254,"MN"
"499","Cunningham Slough",0.981,"MN"
"500","North Slough",0.217,"MN"
"501","Moose Lake",0.524,"MN"
"502","Susan Lake",0.45773974,"MN"
"503","Round Lake",0.18,"MN"
"504","Rolling Lake",0.074,"MN"
"505","Mary Lake",0.513,"MN"
"506","Teal Lake",0.043,"MN"
"507","Steel Lake",0.237,"MN"
"508","Hinterland Lake",0.078,"MN"
"509","West Lake",0.211,"MN"
"510","L Kominek Pond",0.157,"MN"
"511","Goose Lake",0.318,"MN"
"512","Dutton Slough",0.15,"MN"
"513","Gravel Lake",0.229,"MN"
"514","Wegwos Lake",0.167,"MN"
"515","Stony Lake",0.154,"MN"
"516","Pine Lake",0.739,"MN"
"517","Line Lake",0.036,"MN"
"518","Bear Lake",0.022,"MN"
"519","Duffy Lake",0.155,"MN"
"520","Dutchman Lake",0.714,"MN"
"521","Deer Lake",0.017,"MN"
"522","Bass Lake",0.016,"MN"
"523","Perch Lake",0.02,"MN"
"524","Scoffner Lake",0.028,"MN"
"525","Fourth Lake",0.06,"MN"
"526","Steamboat Bay Lake",0.105,"MN"
"527","Blue Sky Lake",0.132,"MN"
"528","Ham Lake",0.156,"MN"
"529","Rob Lake",0.08,"MN"
"530","Kranz Lake",0.16,"MN"
"531","Millers Lake",0.073,"MN"
"532","Crooked Lake",0.053,"MN"
"533","First Perch Lake",0.033,"MN"
"534","Deep Lake",0.191,"MN"
"535","Mud Lake",0.23,"MN"
"536","First Trestle Lake",0.13,"MN"
"537","Littner Lake",0.068,"MN"
"538","Larson Lake",0.001,"MN"
"539","Fucat Lake",0.035,"MN"
"540","Round Lake",0.383,"MN"
"541","Little Rice Lake",0.47,"MN"
"542","Murk Lake",0.045,"MN"
"543","Borden Lake",0.082,"MN"
"544","Koop Lake",0.228,"MN"
"545","Bass Lake",0.055,"MN"
"546","Cow Lake",0.327,"MN"
"547","Little Gilstad Lake",0.148,"MN"
"548","Fields Lake",0.089,"MN"
"549","Round Grove Lake",0.006,"MN"
"550","Round Grove Lake",1.124,"MN"
"551","Sand Lake",0.501,"MN"
"552","Pugh Lake",0.072,"MN"
"553","Schram Lake",0.525,"MN"
"554","McDonald Lake",0.16,"MN"
"555","Mud Lake",0.118,"MN"
"556","Kalla Lake",0.425,"MN"
"557","Twin Lakes",0.118,"MN"
"558","Spring Lake",0.01,"MN"
"559","Lake of the Bays",0.282,"MN"
"560","Martin Lake",1.125,"MN"
"561","Schackman Lake",0.227,"MN"
"562","Tamarack Lake",0.169,"MN"
"563","Woodchuck Lake",0.066,"MN"
"564","Blue Bill Lake",0.186,"MN"
"565","Big Hanson Lake",0.07,"MN"
"566","Hanson Lakes",0.103,"MN"
"567","Popple Lake",0.38,"MN"
"568","Baumgartner Lake",0.055,"MN"
"569","Mud Lake",0.144,"MN"
"570","Deer Lake",0.036,"MN"
"571","Sanborn Lake",0.862,"MN"
"572","Willard Lake",0.035,"MN"
"573","Four Point Lake",1.012,"MN"
"574","Hovde Lake",0.532,"MN"
"575","Round Lake",0.241,"MN"
"576","Richardson Lake",0.485,"MN"
"577","Green Bass Lake",0.157,"MN"
"578","Cranberry Lake",0.397,"MN"
"579","Kepper Lake",0.011,"MN"
"580","Frog Lake",0.097,"MN"
"581","Twin Lakes",0.072,"MN"
"582","Ivins Lake",0.05,"MN"
"583","Burns Lake",0.464,"MN"
"584","Chappie Lake",0.531,"MN"
"585","Campbell Lake",0.614,"MN"
"586","Lake Darwin",0.632,"MN"
"587","Stump Lake",0.272,"MN"
"588","Fedje Lake",0.66,"MN"
"589","Dullinger Lake",0.085,"MN"
"590","Little Sand Lake",0.308,"MN"
"591","Little Lake Hattie",0.221,"MN"
"592","Elbow Lake",0.062,"MN"
"593","Agate Lake",0.625,"MN"
"594","Tamarack Lake",0.196,"MN"
"595","Jokela Lake",0.025,"MN"
"596","Lizotte Lake",0.368,"MN"
"597","Hart Lake",0.228,"MN"
"598","Mud Lake",0.519,"MN"
"599","Hardy Lake",0.35,"MN"
"600","Widow Lake",0.805,"MN"
"601","Wawa Lake",0.293,"MN"
"602","Sellards Lake",0.40170214,"MN"
"603","Upper Whipple Lake",0.406,"MN"
"604","Roy Lake",1.277,"MN"
"605","Lake Edna",0.613,"MN"
"606","Mayo Lake",0.654,"MN"
"607","Island Lake",0.148,"MN"
"608","East Twin Lake",0.123,"MN"
"609","Sustacek Lake",0.187,"MN"
"610","Pleasant Lake",0.881,"MN"
"611","Bobo Link Lake",0.163,"MN"
"612","Little Dixon Lake",0.119,"MN"
"613","Clear Lake",0.099,"MN"
"614","Lund Lake",0.17,"MN"
"615","Nesseth Lake",0.076,"MN"
"616","Clear Lake",0.217,"MN"
"617","Scott Lake",0.321,"MN"
"618","Mud Lake",0.608,"MN"
"619","Girl Lake",1.669,"MN"
"620","Raft Lake",0.218,"MN"
"621","Isabel Lake",0.195,"MN"
